solution_id,configuration_id,scenario_id,aidres_sector_id,horizon,electricity_[mwh/t],electricity_[gj/t],alternative_fuel_mixture_[gj/t],biomass_[gj/t],biomass_waste_[gj/t],coal_[gj/t],coke_[gj/t],crude_oil_[gj/t],hydrogen_[gj/t],methanol_[gj/t],ammonia_[gj/t],naphtha_[gj/t],natural_gas_[gj/t],plastic_mix_[gj/t],alternative_fuel_mixture_[t/t],biomass_[t/t],biomass_waste_[t/t],coal_[t/t],coke_[t/t],crude_oil_[t/t],hydrogen_[t/t],methanol_[t/t],ammonia_[t/t],naphtha_[t/t],natural_gas_[t/t],plastic_mix_[t/t],totex_[eur/t],opex_var_[eur/t],co2_allowance_[eur/t],opex_cst_[eur/t],opex_[eur/t],capex_[eur/t],direct_emission_[tco2/t],total_emission_[tco2/t],direct_emission_reduction_[%],total_emission_reduction_[%],captured_co2_[tco2/t],route_name,product_id,capex_cc_eur_tCO2,opex_cc_eur_tCO2,totex_cc_eur_tCO2,totex_cc_eur_t,Additional_cc_capex
1,1,Exit_no_CDR,2,2050,0.09882,0.35576,0,0,0,2.89315,0,0,0,0,0,0,0,0,0,0,0,0.09807,0,0,0,0,0,0,0,0,158.6108937,19.17615,106.64999999999999,29.7847437,155.6108937,3.0,0.711,0.7711431645,0,0,0,CEM1-(Coal),cement,0.0,0.0,0.0,0.0,0.0
2,2,Exit_no_CDR,2,2050,0.22517,0.81059,0,0,0,5.44483,0,0,0,0,0,0,0,0,0,0,0,0.18457,0,0,0,0,0,0,0,0,124.10061956218,38.83315,27.9,29.7847437,96.5178937,27.58272586218,0.186,0.30389343950000003,0,0,0.743,CEM1-(Coal)MEA,cement,4.037685060565276,26.456258411843873,30.49394347240915,22.656999999999996,29.04808326
3,3,Exit_no_CDR,2,2050,0.16721,0.60194,0,0,0,2.89315,0,0,0,0,0,0,0,0,0,0,0,0.09807,0,0,0,0,0,0,0,0,126.8557632397,23.96345,17.4,39.2087037,80.5721537,46.283609539699995,0.116,0.18434996450000002,0,0,0.595,CEM1-(Coal)CaL,cement,43.69747899159664,23.8844705882353,67.58194957983194,40.21126,29.04808326
4,4,Exit_no_CDR,2,2050,0.25105,0.90379,0,0,0,4.1936,0,0,0,0,0,0,0,0,0,0,0,0.14216,0,0,0,0,0,0,0,0,122.92807092404,35.343500000000006,21.9,34.87750782,92.12100782,30.807063104039997,0.146,0.246118476,0,0,0.854,CEM1-(Coal)Oxy-MEA,cement,3.51288056206089,24.89474721311477,28.40762777517566,24.26011412000001,29.04808326
5,5,Exit_no_CDR,2,2050,0.20532,0.73917,0,0,0,2.91142,0,0,0,0,0,0,0,0,0,0,0,0.09869,0,0,0,0,0,0,0,0,122.78457489697999,26.708650000000002,16.95,37.1241607,80.7828107,42.00176419698,0.113,0.18622842150000002,0,0,0.723,CEM1-(Coal)Oxy-CaL,cement,24.896265560165975,20.569733056708156,45.46599861687413,32.871916999999996,29.04808326
6,6,Exit_no_CDR,2,2050,0.09882,0.35576,0,0,0,0,0,0,0,0,0,0,2.93365,0,0,0,0,0,0,0,0,0,0,0,0.05992,0,166.5830625888889,39.44831888888889,94.35000000000001,29.7847437,163.5830625888889,3.0,0.629,0.6618828916666667,0,0,0,CEM1-(NG),cement,0.0,0.0,0.0,0.0,0.0
7,7,Exit_no_CDR,2,2050,0.20017,0.72063,0,0,0,0,0,0,0,0,0,0,5.00925,0,0,0,0,0,0,0,0,0,0,0,0.10231,0,144.00631798962664,69.55891666666666,22.349999999999998,29.7847437,121.69366036666665,22.31265762296,0.149,0.20892002499999998,0,0,0.596,CEM1-(NG)MEA,cement,3.3557046979865772,50.5211372110365,53.87684190902308,32.110597777777755,29.04808326
8,8,Exit_no_CDR,2,2050,0.15928,0.57342,0,0,0,0,0,0,0,0,0,0,2.93365,0,0,0,0,0,0,0,0,0,0,0,0.05992,0,138.53263438364888,43.68051888888889,15.45,38.1228237,97.25334258888888,41.27929179476,0.103,0.14313809166666666,0,0,0.526,CEM1-(NG)CaL,cement,43.72623574144487,23.89787072243344,67.6241064638783,35.57027999999999,29.04808326
9,9,Exit_no_CDR,2,2050,0.27934,1.00562,0,0,0,0,0,0,0,0,0,0,4.26077,0,0,0,0,0,0,0,0,0,0,0,0.08703,0,158.8815300805311,66.80100511111111,22.95,36.49343262,126.2444377311111,32.63709234942,0.153,0.21705631833333333,0,0,0.917,CEM1-(NG)Oxy-MEA,cement,3.271537622682661,37.144356752695984,40.41589437537864,37.06137514222222,29.04808326
10,10,Exit_no_CDR,2,2050,0.22496,0.80986,0,0,0,0,0,0,0,0,0,0,2.95806,0,0,0,0,0,0,0,0,0,0,0,0.06042,0,147.77470050708666,48.54879866666666,17.699999999999996,38.24602198,104.49482064666665,43.279879860419996,0.118,0.16619463,0,0,0.767,CEM1-(NG)Oxy-CaL,cement,23.46805736636245,22.896685864117043,46.36474323047949,35.56175805777777,29.04808326
11,11,Exit_no_CDR,2,2050,0.09882,0.35576,3.34437,0,0,0,0,0,0,0,0,0,0,0,0.09471,0,0,0,0,0,0,0,0,0,0,0,149.5477077,7.712964,109.05,29.7847437,146.5477077,3.0,0.727,0.739578196,0,0,0,CEM1-(Afm),cement,0.0,0.0,0.0,0.0,0.0
12,12,Exit_no_CDR,2,2050,0.21786,0.78428,5.2383,0,0,0,0,0,0,0,0,0,0,0,0.14835,0,0,0,0,0,0,0,0,0,0,0,98.86474198200001,16.49634,26.25,29.7847437,72.53108370000001,26.333658282,0.175,0.20227066,0,0,0.7,CEM1-(Afm)MEA,cement,4.285714285714286,12.547679999999996,16.83339428571428,11.783375999999995,29.04808326
13,13,Exit_no_CDR,2,2050,0.16869,0.6073,3.34437,0,0,0,0,0,0,0,0,0,0,0,0.09471,0,0,0,0,0,0,0,0,0,0,0,116.52803232208001,12.603864000000002,17.849999999999998,39.4129337,69.8667977,46.66123462208,0.119,0.139962596,0,0,0.608,CEM1-(Afm)CaL,cement,42.76315789473684,23.880082236842114,66.64324013157895,40.51909,29.04808326
14,14,Exit_no_CDR,2,2050,0.20765,0.74754,4.13431,0,0,0,0,0,0,0,0,0,0,0,0.11708,0,0,0,0,0,0,0,0,0,0,0,90.80957116834,15.518972000000002,18.75,32.3979123,66.6668843,24.14268686834,0.125,0.150807808,0,0,0.659,CEM1-(Afm)Oxy-MEA,cement,3.0349013657056143,15.810586646434,18.845488012139615,12.419176600000007,29.04808326
15,15,Exit_no_CDR,2,2050,0.18044,0.64957,3.34437,0,0,0,0,0,0,0,0,0,0,0,0.09471,0,0,0,0,0,0,0,0,0,0,0,102.46757988446,13.426364000000001,15.299999999999997,35.70235618,64.42872018,38.038859704459995,0.102,0.12437259599999999,0,0,0.621,CEM1-(Afm)Oxy-CaL,cement,27.375201288244767,18.72948869565218,46.10468998389695,28.631012480000003,29.04808326
16,16,Exit_no_CDR,2,2050,0.09882,0.35576,0,0,3.7616,0,0,0,0,0,0,0,0,0,0,0,0.2916,0,0,0,0,0,0,0,0,0,138.4621437,36.077400000000004,69.6,29.7847437,135.4621437,3.0,0.464,0.4758584,0,0,0,CEM1-(BMW),cement,0.0,0.0,0.0,0.0,0.0
17,17,Exit_no_CDR,2,2050,0.24884,0.89583,0,0,6.06752,0,0,0,0,0,0,0,0,0,0,0,0.47035,0,0,0,0,0,0,0,0,0,125.85895313532001,64.4538,0.0,29.7847437,94.23854370000001,31.62040943532,-0.419,-0.38913919999999996,0,0,0.882,CEM1-(BMW)MEA,cement,3.401360544217687,32.17278911564625,35.57414965986394,31.376399999999997,29.04808326
18,18,Exit_no_CDR,2,2050,0.18155,0.65357,0,0,3.7616,0,0,0,0,0,0,0,0,0,0,0,0.2916,0,0,0,0,0,0,0,0,0,137.97910556393998,41.868500000000004,0.0,41.2250337,83.0935337,54.88557186394,-0.255,-0.233214,0,0,0.719,CEM1-(BMW)CaL,cement,43.11543810848401,23.965771905424187,67.08121001390819,48.23138999999999,29.04808326
19,19,Exit_no_CDR,2,2050,0.23416,0.84297,0,0,4.29082,0,0,0,0,0,0,0,0,0,0,0,0.33262,0,0,0,0,0,0,0,0,0,120.59359658308,49.6532,4.2,33.91233282,87.76553282,32.828063763079996,0.028,0.0560992,0,0,0.958,CEM1-(BMW)Oxy-MEA,cement,2.0876826722338206,18.479529352818368,20.56721202505219,19.703389119999997,29.04808326
20,20,Exit_no_CDR,2,2050,0.20677,0.74439,0,0,3.7616,0,0,0,0,0,0,0,0,0,0,0,0.2916,0,0,0,0,0,0,0,0,0,130.92131204378,43.633900000000004,2.8499999999999996,37.20699286,83.69089286,47.23041918378,0.019,0.0438124,0,0,0.903,CEM1-(BMW)Oxy-CaL,cement,19.93355481727575,16.587762081949048,36.5213168992248,32.97874915999999,29.04808326
21,21,Exit_no_CDR,2,2050,0.08029,0.28905,0,0,0,2.1318,0,0,0,0,0,0,0,0,0,0,0,0.07226,0,0,0,0,0,0,0,0,119.5601877,14.652800000000003,78.60000000000001,23.3073877,116.5601877,3.0,0.524,0.5692120110000001,0,0,0,CEM2-(Coal),cement,0.0,0.0,0.0,0.0,0.0
22,22,Exit_no_CDR,2,2050,0.17339,0.62419,0,0,0,4.01198,0,0,0,0,0,0,0,0,0,0,0,0.136,0,0,0,0,0,0,0,0,93.91303732648001,29.1373,20.55,23.3073877,72.9946877,20.91834962648,0.137,0.22476640000000003,0,0,0.548,CEM2-(Coal)MEA,cement,3.64963503649635,26.431569343065693,30.081204379562042,16.4845,29.04808326
