solution_id,configuration_id,scenario_id,aidres_sector_id,horizon,electricity_[mwh/t],electricity_[gj/t],alternative_fuel_mixture_[gj/t],biomass_[gj/t],biomass_waste_[gj/t],coal_[gj/t],coke_[gj/t],crude_oil_[gj/t],hydrogen_[gj/t],methanol_[gj/t],ammonia_[gj/t],naphtha_[gj/t],natural_gas_[gj/t],plastic_mix_[gj/t],alternative_fuel_mixture_[t/t],biomass_[t/t],biomass_waste_[t/t],coal_[t/t],coke_[t/t],crude_oil_[t/t],hydrogen_[t/t],methanol_[t/t],ammonia_[t/t],naphtha_[t/t],natural_gas_[t/t],plastic_mix_[t/t],totex_[eur/t],opex_var_[eur/t],co2_allowance_[eur/t],opex_cst_[eur/t],opex_[eur/t],capex_[eur/t],direct_emission_[tco2/t],total_emission_[tco2/t],direct_emission_reduction_[%],total_emission_reduction_[%],captured_co2_[tco2/t],route_name,product_id,capex_cc_eur_tCO2,opex_cc_eur_tCO2,totex_cc_eur_tCO2,totex_cc_eur_t
1,1,No_Bio,2,2050,0.09882,0.35576,0,0,0,2.89315,0,0,0,0,0,0,0,0,0,0,0,0.09807,0,0,0,0,0,0,0,0,158.6108937,19.17615,106.64999999999999,29.7847437,155.6108937,3.0,0.711,0.7711431645,0,0,0,CEM1-(Coal),cement,0.0,0.0,0.0,0.0
2,2,No_Bio,2,2050,0.22517,0.81059,0,0,0,5.44483,0,0,0,0,0,0,0,0,0,0,0,0.18457,0,0,0,0,0,0,0,0,147.8318937,38.83315,27.9,29.7847437,135.8318937,12.0,0.186,0.30389343950000003,0,0,0.743,CEM1-(Coal)MEA,cement,4.037685060565276,26.456258411843873,30.49394347240915,22.656999999999996
3,3,No_Bio,2,2050,0.16721,0.60194,0,0,0,2.89315,0,0,0,0,0,0,0,0,0,0,0,0.09807,0,0,0,0,0,0,0,0,189.99467370000002,23.96345,17.4,39.2087037,108.9946737,81.0,0.116,0.18434996450000002,0,0,0.595,CEM1-(Coal)CaL,cement,43.69747899159664,23.8844705882353,67.58194957983194,40.21126
4,4,No_Bio,2,2050,0.25105,0.90379,0,0,0,4.1936,0,0,0,0,0,0,0,0,0,0,0,0.14216,0,0,0,0,0,0,0,0,146.64123606000004,35.343500000000006,21.9,34.87750782,134.64123606000004,12.0,0.146,0.246118476,0,0,0.854,CEM1-(Coal)Oxy-MEA,cement,3.51288056206089,24.89474721311477,28.40762777517566,24.26011412000001
5,5,No_Bio,2,2050,0.20532,0.73917,0,0,0,2.91142,0,0,0,0,0,0,0,0,0,0,0,0.09869,0,0,0,0,0,0,0,0,167.5266447,26.708650000000002,16.95,37.1241607,110.52664469999999,57.0,0.113,0.18622842150000002,0,0,0.723,CEM1-(Coal)Oxy-CaL,cement,24.896265560165975,20.569733056708156,45.46599861687413,32.871916999999996
6,6,No_Bio,2,2050,0.09882,0.35576,0,0,0,0,0,0,0,0,0,0,2.93365,0,0,0,0,0,0,0,0,0,0,0,0.05992,0,150.31760314444446,23.182859444444446,94.35000000000001,29.7847437,147.31760314444446,3.0,0.629,0.6618828916666667,0,0,0,CEM1-(NG),cement,0.0,0.0,0.0,0.0
7,7,No_Bio,2,2050,0.20017,0.72063,0,0,0,0,0,0,0,0,0,0,5.00925,0,0,0,0,0,0,0,0,0,0,0,0.10231,0,140.12524981111108,41.78540833333333,22.349999999999998,29.7847437,131.12524981111108,9.0,0.149,0.20892002499999998,0,0,0.596,CEM1-(NG)MEA,cement,3.3557046979865772,31.212330350484706,34.56803504847128,20.602548888888883
8,8,No_Bio,2,2050,0.15928,0.57342,0,0,0,0,0,0,0,0,0,0,2.93365,0,0,0,0,0,0,0,0,0,0,0,0.05992,0,178.12844314444442,27.415059444444445,15.45,38.1228237,106.12844314444442,72.0,0.103,0.14313809166666666,0,0,0.526,CEM1-(NG)CaL,cement,43.72623574144487,23.89787072243344,67.6241064638783,35.57027999999999
9,9,No_Bio,2,2050,0.27934,1.00562,0,0,0,0,0,0,0,0,0,0,4.26077,0,0,0,0,0,0,0,0,0,0,0,0.08703,0,168.02729923777775,43.17740255555555,22.95,36.49343262,156.02729923777775,12.0,0.153,0.21705631833333333,0,0,0.917,CEM1-(NG)Oxy-MEA,cement,3.271537622682661,29.1202094123349,32.39174703501756,29.703232031111103
10,10,No_Bio,2,2050,0.22496,0.80986,0,0,0,0,0,0,0,0,0,0,2.95806,0,0,0,0,0,0,0,0,0,0,0,0.06042,0,179.9468576511111,32.14799933333333,17.699999999999996,38.24602198,122.94685765111109,57.0,0.118,0.16619463,0,0,0.767,CEM1-(NG)Oxy-CaL,cement,23.46805736636245,22.72023229320584,46.18828965956829,35.42641816888888
11,11,No_Bio,2,2050,0.09882,0.35576,3.34437,0,0,0,0,0,0,0,0,0,0,0,0.09471,0,0,0,0,0,0,0,0,0,0,0,149.5477077,7.712964,109.05,29.7847437,146.5477077,3.0,0.727,0.739578196,0,0,0,CEM1-(Afm),cement,0.0,0.0,0.0,0.0
12,12,No_Bio,2,2050,0.21786,0.78428,5.2383,0,0,0,0,0,0,0,0,0,0,0,0.14835,0,0,0,0,0,0,0,0,0,0,0,102.0978357,16.49634,26.25,29.7847437,90.0978357,12.0,0.175,0.20227066,0,0,0.7,CEM1-(Afm)MEA,cement,4.285714285714286,12.547679999999996,16.83339428571428,11.783375999999995
13,13,No_Bio,2,2050,0.16869,0.6073,3.34437,0,0,0,0,0,0,0,0,0,0,0,0.09471,0,0,0,0,0,0,0,0,0,0,0,179.90497770000002,12.603864000000002,17.849999999999998,39.4129337,98.90497770000002,81.0,0.119,0.139962596,0,0,0.608,CEM1-(Afm)CaL,cement,42.76315789473684,23.880082236842114,66.64324013157895,40.51909
14,14,No_Bio,2,2050,0.20765,0.74754,4.13431,0,0,0,0,0,0,0,0,0,0,0,0.11708,0,0,0,0,0,0,0,0,0,0,0,96.50523750000002,15.518972000000002,18.75,32.3979123,87.50523750000002,9.0,0.125,0.150807808,0,0,0.659,CEM1-(Afm)Oxy-MEA,cement,3.0349013657056143,15.810586646434,18.845488012139615,12.419176600000007
15,15,No_Bio,2,2050,0.18044,0.64957,3.34437,0,0,0,0,0,0,0,0,0,0,0,0.09471,0,0,0,0,0,0,0,0,0,0,0,141.69074514,13.426364000000001,15.299999999999997,35.70235618,87.69074514,54.0,0.102,0.12437259599999999,0,0,0.621,CEM1-(Afm)Oxy-CaL,cement,27.375201288244767,18.72948869565218,46.10468998389695,28.631012480000003
