Emitters,Bin_connection
E578,0.0
E1901,1.0
E1902,1.0
E1919,1.0
E5,1.0
E6,1.0
E1892,1.0
E2535,1.0
E2148,1.0
E2149,0.0
E2398,1.0
E2536,1.0
E10,1.0
E2537,1.0
E1414,1.0
E586,0.0
E1851,0.0
E1852,1.0
E1853,1.0
E1855,1.0
E1856,1.0
E2297,0.37
E2538,1.0
E589,1.0
E1909,1.0
E3011,1.0
E1910,1.0
E2539,1.0
E2540,1.0
E1916,1.0
E1917,1.0
E2399,1.0
E2400,1.0
E2266,1.0
E2111,0.0
E11,1.0
E2295,0.0
E2439,0.89
E2566,1.0
E2541,1.0
E1888,0.0
E2301,0.0
E2304,0.0
E2542,1.0
E592,0.0
E1419,1.0
E1420,1.0
E1904,1.0
E1421,1.0
E1903,1.0
E2543,1.0
E2401,1.0
E2194,1.0
E2065,1.0
E2133,1.0
E2402,0.0
E2544,1.0
E2545,1.0
E593,0.0
E2289,1.0
E2290,1.0
E1896,0.0
E2298,0.0
E2440,1.0
E2567,1.0
E125,1.0
E126,1.0
E2370,0.0
E2508,0.0
E2635,1.0
E2371,1.0
E2509,1.0
E2636,1.0
E2372,0.0
E2510,0.0
E2637,0.0
E2373,0.0
E2511,1.0
E2638,1.0
E2221,1.0
E2222,1.0
E4044,1.0
E2009,0.0
E2010,1.0
E2073,0.0
E2198,0.0
E2045,0.0
E902,1.0
E2374,1.0
E2512,1.0
E2639,1.0
E2375,1.0
E2513,1.0
E2640,1.0
E1849,0.0
E1850,1.0
E2376,0.0
E2514,0.0
E2641,1.0
E2377,1.0
E2515,1.0
E2642,1.0
E2562,0.0
E2378,1.0
E2516,1.0
E2643,1.0
E2379,0.0
E2517,0.0
E2644,1.0
E2380,1.0
E2518,1.0
E2645,1.0
E2381,1.0
E2519,1.0
E2646,1.0
E2382,1.0
E2520,1.0
E2647,1.0
E2383,1.0
E2521,1.0
E2648,1.0
E2384,1.0
E2522,1.0
E2649,1.0
E128,1.0
E129,1.0
E130,1.0
E131,1.0
E1445,1.0
E1446,1.0
E1447,1.0
E1448,1.0
E1456,1.0
E2150,1.0
E2153,1.0
E2152,1.0
E2305,0.0
E2444,1.0
E2571,1.0
E2405,1.0
E2406,1.0
E2306,0.0
E2445,1.0
E2572,1.0
E2408,1.0
E721,0.0
E710,0.0
E2410,1.0
E2411,1.0
E703,0.0
E2412,1.0
E1906,1.0
E1905,1.0
E2413,1.0
E2414,1.0
E1860,0.0
E3005,1.0
E3006,1.0
E1982,1.0
E2416,1.0
E2547,1.0
E2309,0.0
E2447,0.0
E2574,1.0
E2418,1.0
E2310,0.0
E2448,1.0
E2575,1.0
E2311,0.0
E2449,1.0
E2576,1.0
E1915,1.0
E2312,0.0
E2450,1.0
E2577,1.0
E1913,1.0
E2425,0.89
E1861,0.0
E1862,1.0
E3009,1.0
E2256,1.0
E3000,1.0
E2314,0.0
E2452,1.0
E2579,1.0
E2315,0.0
E2453,0.0
E2580,1.0
E2316,0.0
E2454,0.0
E2581,1.0
E1914,1.0
E1859,0.0
E3008,1.0
E2318,0.0
E2456,1.0
E2583,1.0
E2552,1.0
E2555,1.0
E2429,1.0
E2320,0.0
E2458,1.0
E2585,1.0
E1998,1.0
E2146,1.0
E2083,1.0
E2189,1.0
E2096,1.0
E2110,0.0
E38,1.0
E39,0.0
E40,0.0
E41,0.0
E43,1.0
E44,0.0
E45,0.0
E46,0.0
E48,1.0
E708,1.0
E719,1.0
E1521,1.0
E1528,1.0
E1529,1.0
E1530,1.0
E1531,0.0
E1534,1.0
E1535,1.0
