Emitters,Bin_connection
E578,0.0
E1901,0.0
E1902,0.0
E1919,0.0
E5,1.0
E6,1.0
E1892,1.0
E2535,0.0
E2148,0.0
E2149,0.0
E2398,0.0
E2536,1.0
E10,1.0
E2537,0.0
E1414,0.0
E586,0.0
E1851,0.0
E1852,0.0
E1853,1.0
E1855,1.0
E1856,0.0
E2297,0.0
E2538,1.0
E589,1.0
E1909,0.0
E3011,1.0
E1910,0.0
E2539,1.0
E2540,1.0
E1916,0.0
E1917,0.0
E2399,0.0
E2400,0.0
E2266,0.0
E2111,0.0
E11,1.0
E2295,0.0
E2439,0.0
E2566,0.0
E2541,1.0
E1888,0.0
E2301,0.0
E2304,0.0
E2542,1.0
E592,0.0
E1419,0.0
E1420,0.0
E1904,0.0
E1421,0.0
E1903,0.0
E2543,0.0
E2401,0.0
E2194,0.0
E2065,0.0
E2133,0.0
E2402,0.0
E2544,1.0
E2545,1.0
E593,0.0
E2289,0.0
E2290,0.0
E1896,0.0
E2298,0.0
E2440,0.0
E2567,1.0
E125,1.0
E126,1.0
E2370,0.0
E2508,0.0
E2635,1.0
E2371,0.0
E2509,0.0
E2636,1.0
E2372,0.0
E2510,0.0
E2637,1.0
E2373,0.0
E2511,0.0
E2638,1.0
E2221,1.0
E2222,0.0
E4044,0.0
E2009,0.0
E2010,0.0
E2073,0.0
E2198,0.0
E2045,0.0
E902,1.0
E2374,0.0
E2512,0.0
E2639,1.0
E2375,0.0
E2513,0.0
E2640,1.0
E1849,0.0
E1850,0.0
E2376,0.0
E2514,0.0
E2641,1.0
E2377,0.0
E2515,0.0
E2642,1.0
E2562,1.0
E2378,0.0
E2516,0.0
E2643,1.0
E2379,0.0
E2517,0.0
E2644,1.0
E2380,0.0
E2518,0.0
E2645,1.0
E2381,0.0
E2519,0.0
E2646,1.0
E2382,0.0
E2520,0.0
E2647,1.0
E2383,0.0
E2521,0.0
E2648,1.0
E2384,0.0
E2522,0.0
E2649,1.0
E128,1.0
E129,1.0
E130,1.0
E131,1.0
E1445,0.0
E1446,0.0
E1447,0.0
E1448,0.0
E1456,0.0
E2150,0.0
E2153,0.0
E2152,0.0
E2305,0.0
E2444,0.0
E2571,0.0
E2405,0.0
E2406,0.0
E2306,0.0
E2445,0.0
E2572,0.0
E2408,0.0
E721,0.0
E710,0.0
E2410,0.0
E2411,0.0
E703,0.0
E2412,0.0
E1906,0.0
E1905,0.0
E2413,0.0
E2414,0.0
E1860,0.0
E3005,0.0
E3006,0.0
E1982,0.0
E2416,0.0
E2547,0.0
E2309,0.0
E2447,0.0
E2574,0.0
E2418,0.0
E2310,0.0
E2448,0.0
E2575,0.0
E2311,0.0
E2449,0.0
E2576,0.0
E1915,0.0
E2312,0.0
E2450,0.0
E2577,0.0
E1913,0.0
E2425,0.0
E1861,0.0
E1862,0.0
E3009,0.0
E2256,0.0
E3000,0.0
E2314,0.0
E2452,0.0
E2579,0.0
E2315,0.0
E2453,0.0
E2580,0.0
E2316,0.0
E2454,0.0
E2581,0.0
E1914,0.0
E1859,0.0
E3008,0.0
E2318,0.0
E2456,0.0
E2583,0.0
E2552,0.0
E2555,0.0
E2429,0.0
E2320,0.0
E2458,0.0
E2585,0.0
E1998,0.0
E2146,0.0
E2083,0.0
E2189,0.0
E2096,0.0
E2110,0.0
E38,0.0
E39,0.0
E40,0.0
E41,0.0
E43,0.0
E44,0.0
E45,0.0
E46,0.0
E48,0.0
E708,0.0
E719,0.0
E1521,0.0
E1528,0.0
E1529,0.0
E1530,0.0
E1531,0.0
E1534,0.0
E1535,0.0
