Parameters,Values,Unit
Max total connections,37,-
Optimised connections,29,-
Total capture potential,9.59749678444666,MtCO2pa
Total capture volume,9.36,MtCO2pa
Total capture volume fossil,0.31,MtCO2pa
Total capture volume bio,9.05,MtCO2pa
Biomass use,17.29167829528023,TWhpa
Average T&S costs,64.01,EUR/tCO2pa
Total costs,0,EUR/tCO2Reducedpa
Pipeline cost,266.01841015815546,MEURpa
Storage cost,14.380634210465585,MEURpa
Booster cost,19.178595741136824,MEURpa
MIPgap,22.427095131106686,%
C-grid-type,coarse,-
