Node_id,Storage_name,Lat,Lon,Planned_inj_mt,Theoretical_volume_mt,Srl,Project_status,NUTS0,NUTS0_2,Stored_vol_node_origin
Si1,Žutica & Ivanić  oilfields,45.67679506999999,16.43519048,6.94,250.0,9,Operational,HR,HR,0.0
Si2,Szank Fields,46.548619050000006,19.636990479999998,,100.0,9,Operational,HU,HU,0.0
Si3,Basalt Lava flows,64.01666635999999,-22.134252619999998,3,18.0,6,Advanced Development,IS,IS,0.0
Si4,Basalt Lava flows,64.02653699999999,-21.431829,0.012,101.0,9,Operational,IS,IS,0.0
Si5,Borzecin gas reservoir,51.471858,16.837000999999997,0.000175,1.0,9,Operational,PL,PL,0.0
Si6,LBr-1 field in Moravia,48.71981677,16.986764279999996,-,100.0,4,Ended,CZ,CZ,0.0
Si7,Vedsted,57.18399594,9.717180715,-,100.0,4,Ended,DK,DK,0.0
Si8,Lorraine Region,48.85102439000001,6.236950164999999,0.5,100.0,4,Ended,FR,FR,0.0
Si9,Rousse gas field,43.260116000000004,-0.404397,0.02,1.0,9,Ended,FR,FR,0.0
Si10,Stuttgart formation,52.483823279999996,12.832091239999999,0.01,0.067,9,Ended,DE,DE,0.0
Si11,Tertiary Formations,57.07374600000001,10.04,1.5,100.0,4,Ended,DK,DK,0.0
Si12,Hontomin,42.57246019000001,-3.6409034830000007,2,100.0,4,Ended,ES,ES,0.0
So1,Nini West Oil Field,56.640805999999984,5.271956,1,45.0,6,Early Development,NO,NO,0.0
So2,Havnsø,56.34414299999999,4.27192,3,300.0,4,Early Development,NO,NO,0.0
So3,Kinsale Gas Fields,51.370833,-7.945277999999999,,330.0,4,Early Development,IE,IE,0.0
So4,Eni's Adriatic Fields,44.41777583,12.52436081,,600.0,5,Early Development,IT,IT,0.0
So5,P18-6 gas field,52.1623566,3.951508566,,1.4,7,Advanced Development,NL,NL,0.0
So6,P18-2 gas field,52.13518771,3.9555781849999994,,32.0,7,Advanced Development,NL,NL,0.0
So7,P18-4 gas field,52.14647011999998,3.896137981999999,2.5,8.0,8,Advanced Development,NL,NL,0.0
So8,K&L Blocks gas fields,53.53716658999998,4.0040007,5,400.0,4,Early Development,NL,NL,9.363346177081457
So9,Sto Formation,71.63333299999998,21.066666999999995,0.5,300.0,9,Operational,NO,NO,0.0
So10,Johansen Formation (Aurora Field),60.64555599999999,3.7263890000000006,1.5,200.0,7,In construction,NO,NO,0.0
So11,Utsira Formation,58.35000280999999,1.8999999999999995,0.9,1100.0,9,Operational,NO,NO,0.0
So12,Polaris sandstone,73.04103716,28.9155905,2,100.0,3,Early Development,NO,NO,0.0
So13,Captain Sandstone,58.00000000000001,-0.3833329999999999,0.3,500.0,5,Advanced Development,GB,GB,0.0
So14,Mey Sandstone,58.40712957999999,1.132642377,-,150.0,5,Advanced Development,GB,GB,0.0
So15,Bunter Sandstone,54.06757422,0.994849734,1,1000.0,7,Advanced Development,GB,GB,0.0
So16,Hamilton then Lennox Fields,53.51380074,-3.33345898,1.5,130.0,5,Advanced Development,GB,GB,0.0
So17,Rotliegende Sandstone,53.34194399999999,3.8969440000000004,0.2,3.0,9,Ended,NL,NL,0.0
So18,Smeaheia Formation,60.64555599999999,3.7263890000000006,1.5,100.0,5,Ended,NO,NO,0.0
So19,Tubaen Formation,71.63333299999998,21.066666999999995,0.3,1.1,9,Ended,NO,NO,0.0
So20,Goldeneye,58.00000000000001,-0.3833329999999999,1,24.0,5,Ended,GB,GB,0.0
So21,Bunter Sandstone,54.01536637999998,0.973685228,2.7,54.0,5,Ended,GB,GB,0.0
So22,Forties Sandstone,57.71666699999999,1.016667,,100.0,4,Ended,GB,GB,0.0
